frame_id,timestamp,raw_steer,raw_thr,final_steer,final_thr,act_steer,act_thr,lane_detected,n_objects,scenario
2,1775827751.0655,-0.07064,0.99967,-0.07064,0.34988,-0.07064,0.34988,0,0,0
3,1775827751.2065,-0.03120,0.99977,-0.03120,0.34992,-0.03120,0.34992,1,0,0
4,1775827751.3645,-0.10420,0.99967,-0.10420,0.34988,-0.10420,0.34988,1,0,0
5,1775827751.5580,-0.16787,0.99958,-0.16787,0.34985,-0.16787,0.34985,1,0,0
6,1775827751.7332,-0.25820,0.99976,-0.25820,0.34992,-0.25820,0.34992,1,0,0
7,1775827751.8778,-0.29811,0.99983,-0.29811,0.34994,-0.29811,0.34994,1,0,0
8,1775827752.0380,-0.31480,0.99986,-0.31480,0.34995,-0.31480,0.34995,1,0,0
9,1775827752.2073,-0.37097,0.99988,-0.37097,0.34996,-0.37097,0.34996,1,0,0
10,1775827752.3993,-0.15380,0.99989,-0.15380,0.34996,-0.15380,0.34996,1,0,0
11,1775827752.5244,+0.11639,0.99985,+0.11639,0.34995,+0.11639,0.34995,1,0,0
12,1775827752.7208,+0.33737,0.99960,+0.33737,0.34986,+0.33737,0.34986,1,0,0
13,1775827752.8547,+0.31340,0.99988,+0.31340,0.34996,+0.31340,0.34996,1,0,0
14,1775827752.9970,+0.13839,0.99926,+0.13839,0.34974,+0.13839,0.34974,1,0,0
15,1775827753.1682,+0.11857,0.99971,+0.11857,0.34990,+0.11857,0.34990,1,0,0
16,1775827753.3076,+0.18710,0.99985,+0.18710,0.34995,+0.18710,0.34995,1,0,0
17,1775827753.4877,+0.18112,0.99980,+0.18112,0.34993,+0.18112,0.34993,1,0,0
18,1775827753.6241,+0.49831,0.99980,+0.49831,0.34993,+0.49831,0.34993,1,0,0
19,1775827753.7589,+0.44993,0.99868,+0.44993,0.34954,+0.44993,0.34954,1,0,0
20,1775827753.8920,+0.32575,0.99818,+0.32575,0.34936,+0.32575,0.34936,1,0,0
21,1775827754.0206,+0.18319,0.99923,+0.18319,0.34973,+0.18319,0.34973,1,0,0
22,1775827754.1404,-0.04865,0.99904,-0.04865,0.34967,-0.04865,0.34967,1,0,0
23,1775827754.2687,-0.35870,0.99980,-0.35870,0.34993,-0.35870,0.34993,1,0,0
24,1775827754.3946,+0.01446,0.99989,+0.01446,0.34996,+0.01446,0.34996,1,0,0
25,1775827754.5043,+0.57567,0.99978,+0.57567,0.34992,+0.57567,0.34992,1,0,0
26,1775827754.6859,+0.82954,0.99978,+0.82954,0.34992,+0.82954,0.34992,1,0,0
27,1775827754.8350,+0.66821,0.99910,+0.66821,0.34968,+0.66821,0.34968,1,0,0
28,1775827754.9809,+0.22223,0.99644,+0.22223,0.34875,+0.22223,0.34875,1,0,0
